catalog number,date,start time,recordist name,colloquial location,latitude,longitude,recorder number,linked video filenames,Linked audio catalog #,notes,Audited?,Audited,Orientation,
166,2019/11/20,8:40 PM,Ronan Mauldin,"On the side of a hill facing Oakes College, just about 100 m out from the tree-line on the right side, facing the music center. ",36.9923,-122.0574,,,,,,22,196,
167,2019/11/21,9:17 AM,Ronan Mauldin,"Just off the main road, on the opposite side from the East Field House, in a depression.",36.9961,-122.0562,,,,,,162,201,
168,2019/11/23,10:50 PM,Ronan Mauldin,"In the Great Meadow, further down on the south side of campus, a couple football fields off from the main road. ",36.9894,-122.0563,,,,,,178,167,
169,2019/11/24,10:30 PM,Ronan Mauldin,Just above the village housing.,36.9893,-122.0562,,,,,,163,171,
170,2019/11/24,11:37 PM,Ronan Mauldin,"Just in between the disability service building and the main road, on the top of a depression. ",36.9955,-122.0564,,,,,,104,198,
171,2019/11/25,12:11 AM,Ronan Mauldin,On the east field. ,36.994,-122.0528,,,,,,334,200,
172,2019/11/25,8:35 PM,Ronan Mauldin,"Back on the large rock, at the center of the Quarry. ",36.998,-122.0567,,,,,,268,211,
173,2019/11/25,9:18 PM,Ronan Mauldin,Just off the east field in a little ‘nest’ of dead bushes and a pile of rocks. ,36.9935,-122.0513,,,,,,277,192,
174,2019/11/26,10:08 AM,Ronan Mauldin,"Just behind the Engineering / Science Library, on a slope downwards toward Kerr Hall. ",36.9972,-122.0607,,,,,,209,225,
175,2019/11/26,3:04 PM,Ronan Mauldin,"Just behind Rachel Carson dining hall, next to the Rachel Carson Garden.",36.9916,-122.0658,,,,,,5,200,
176,,3:42 PM,Qian Wen Chen,The main entrance of the Digital Arts Center next to a tree.,36.99,-122.06,,,,,,,204,
177,2019/12/03,4:00 PM,Qian Wen Chen,Kerr Road next to parking lot 126,36.99,-122.06,NT-SF1,,,,,294,200,
178,2019/12/04,11:00 AM,Qian Wen Chen,2nd Floor of Student Union,36.99,-132.05,NT-SF1,,,,,93,218,
179,2019/12/04,11:22 AM,Qian Wen Chen,Southwest side of the library,36.99,-122.05,NT-SF1,,,,,218,208,
180,2019/12/04,12:03 PM,Qian Wen Chen,Kerr Hall main entrance,36.99,-122.06,NT-SF1,,,,,281,222,
181,2019/11/6,7:17 PM,Ronan Mauldin,Edge of a forest next to the plains by music department,36.9894,-122.0615,NT-SF1,,,,,SE,174,
182,2019/11/7,7:09 PM,Ronan Mauldin,Under a large tree on the edge of a depression between Kresge and the main road,36.9975,-122.0651,NT-SF1,,,,,40,219,
183,2019/11/8,9:21 PM,Ronan Mauldin,On top of the large rock in the center of quarry plaza,36.9987,-122.0568,NT-SF1,,,,,262,210,
184,2019/11/10,8:24 PM,Ronan Mauldin,500m out from the music center in the meadow on a hill,36.9902,-122.0596,NT-SF1,,,,,133,191,
185,2019/11/11,9:12 AM,Ronan Mauldin,On a slope just between music center and the hill,36.9961,-122.0609,NT-SF1,,,,,65,213,
186,2019/11/11,3:56 PM,Ronan Mauldin,In a forest sitting on a fallen tree above 9 and 10,37.0044,-122.0615,NT-SF1,,,,,59,299,
187,2019/11/11,9:25 PM,Ronan Mauldin,"500m out from the music center, extremely foggy",36.9902,-122.0594,NT-SF1,,,,,149,189,
188,2019/12/04,8:08 PM,Edgar Montenegro,Facing east on college 10 road,37.001,-122.059,NT-SF1,,,,,135,250,
189,2019/12/04,3:49 PM,Edgar Montenegro,Corner of Pacific and Lincoln in downtown,36.9727,-122.0258,NT-SF1,,,,,318,6,
190,2019/12/04,1:05 PM,Edgar Montenegro,"On the north facing stairwell, third floor of a residence hall",37.0023,-122.0599,H3-VR,,,,,345,256,
191,2019/12/04,6:26 PM,Edgar Montenegro,On second floor of Social Sciences II Building,37.0017,-122.0587,H3-VR,,,,,337,246,
192,2019/12/05,9:37 AM,Edgar Montenegro,Facing south on top of the porter squiggle,36.9932,-122.0651,H3-VR,,,,,164,215,
193,2019/12/05,12:22 PM,Edgar Montenegro,On a bench on top of the Santa Cruz pier just above the waves,36.9619,-122.0227,H3-VR,,,,,219,2,
194,2020/01/15,5:00 PM,Andrew Gordon,In a field below the west remote parking lot facing the coast,,,H3-VR,,,Where did the attribution come from? Worth tracking down? (or just throw out?),,,,
195,2020/01/15,9:50 PM,Andrew Gordon,Below the arch of the porter squiggle facing the coast on a misty day,36.9932,-122.0651,H3-VR,,,,"yes (should probably not go on site, fair dose of obscenities)",187,215,
196,2020/01/16,9:51 AM,Andrew Gordon,"Behind McHenry facing a sunken, dew-ful forest area",36.9958,-122.0585,H3-VR,,,,,120,208,
197,2020/01/16,11:00 AM,Andrew Gordon,On lush green pasture for cows facing out towards the ocean,36.9929,-122.0579,H3-VR,,,,,201,147,
198,2020/01/16,11:27 AM,Andrew Gordon,On a little grassy knoll looking down the coast line over a family of deer close by,36.9909,-122.0594,H3-VR,,,,,104,191,
199,2019/10/05,11:25 AM,Jon Myers,Off the path at the cow pasture on the edge of the woods,36.991,-122.0565,NT-SF1,,,,,116,184,
200,2019/10/05,11:58 AM,Jon Myers,"On path near the quarry, drainage pipe on one side and chain link fence on the other",36.9902,-122.0559,NT-SF1,,,,,325,168,
201,2019/10/05,12:25 PM,Jon Myers,Bottom of gultch by the water pipe and quarry,36.9866,-122.0476,NT-SF1,,,,,315,174,
202,2019/10/05,6:16 PM,Jon Myers,,37.0035,-122.0634,NT-SF1,,,,,345,281,
203,2019/10/05,6:40 PM,Jon Myers,,37.0032,-122.0643,NT-SF1,,,,,128,275,
204,2019/10/05,7:10 PM,Jon Myers,"At dusk, by the teepee.",36.9938,-122.0582,NT-SF1,,,,,34,197,
205,2019/10/08,4:42 PM,Jon Myers, ,37.0182,-122.0756,NT-SF1,,,,,40,338,
206,2019/10/08,4:52 PM,Jon Myers,,37.0198,-122.0753,NT-SF1,,,,,300,340,
207,2019/10/16,2:30 PM,Jon Myers ,A dry streamed next to the path between the Music Center and Oakes.,36.9915,-122.0625,NT-SF1,,,,,168,188,
208,2019/10/28,5:25 PM,Jon Myers,,37.0066,-122.0666,NT-SF1,,,,,339,297,
209,2019/10/28,5:46 PM,Jon Myers,In upper campus. ,37.0071,-122.0645,NT-SF1,,,,,344,306,
210,2019/10/28,6:00 PM,Jon Myers,,37.0082,-122.0656,NT-SF1,,N/A,,,289,310,
211,2019/11/2,5:56 PM,Jon Myers,Some sort of man-made pond near the coast between highway one and the coast,36.9677,-122.1205,NT-SF1,,N/A,,,177,10,
212,2019/11/2,6:28 PM,Jon Myers,,36.967,-122.1231,NT-SF1,,N/A,,,228,4,
213,2019/11/3,5:34 PM,Jon Myers,,36.9987,-122.0485,NT-SF1,,,,,270,151,
214,2019/11/8,4:26 PM,Jon Myers,,36.9833,-122.1544,NT-SF1,,,,,105,4,
215,2019/12/8,5:02 PM,Jon Myers,,36.9805,-122.1550,NT-SF1,,,,,336,0,
216,2019/11/8,5:32 PM,Jon Myers,,36.9834,-122.1543,NT-SF1,,,,,25,,
217,2019/11/15,4:15 PM,Jon Myers,,37.0310,-122.0564,NT-SF1,,,,,296,70,
218,2019/11/15,4:44 PM,Jon Myers,,37.0344,-122.0584,NT-SF1,,,,,290,77,
219,2019/11/22,4:08 PM,Jon Myers,"In the middle of some scrubby chaparral area in Henry Cowell State Park, not far from the campground. ",37.0330,-122.0463,NT-SF1,,,,,194,188,
220,2019/11/22,4:42 PM,Jon Myers,"On top of a hollowed-out redwood, future fairy ring, near this little creek in Henry Cowell State Park.",37.0338,-122.0489,NT-SF1,,,,,29,245,
221,2019/12/7,12:47 PM,Jon Myers,,36.9626,-122.0027,NT-SF1,,,,,94,3,
222,2019/12/7,1:17 PM,Jon Myers ,,36.9645,-122.0031,NT-SF1,,,,,242,3,
223,2019/12/11,11:29 PM,Jon Myers,,36.9696,-122.0121,NT-SF1,,,,,215,13,
224,2019/12/12,11:47 PM,Jon Myers,Between a little creek and a gated housing area.,36.9696,-122.0124,NT-SF1,,,,,157,9,
225,2019/12/20,3:15 PM,Jon Myers,"By a stream in the upper part of Wilder Ranch, near Empire Grade. ",36.9889,-122.0703,NT-SF1,,,,,37,149,
226,2019/12/20,3:32 PM,Jon Myers,"In Wilder Ranch, along a trail above some sort of creek. ",36.9900,-122.0713,NT-SF1,,,,,214,143,
227,2019/12/20,3:47 PM,Jon Myers,"On a hill that is carved out on both sides by creeks, in Wilder Ranch. ",36.9897,-122.0725,NT-SF1,,,,,72,131,
228,2019/12/31,4:30 PM,Jon Myers,"In Ana Nuevo state park, on the beach near some Elephant Seals.  ",37.1166,-122.3076,NT-SF1,,,,,188,8,
229,2020/1/13,5:14 PM,Elliot Frank Hess,"At Opers on the field near the batting cage, going down toward the soccer field. ",36.9934,-122.0523,H3-VR,,,,,,,
230,2020/1/13,6:00 PM,Elliot Frank Hess,"Cowell Library, between two book shelves",36.9970,-122.0535,H3-VR,,,,,,,
231,2020/1/13,6:15 PM,Elliot Frank Hess,"OPERS East Gym, badmitton game",36.9946,-122.0548,H3-VR,,,,,,,
232,2020/1/13,6:24 PM,Elliot Frank Hess,OPERS Basketball Courts,36.9950,-122.0546,H3-VR,,,,,,,
233,2020/1/17,12:54 PM,Brock Stuessi,Meeting point of uphill and downhill bike paths at music center,36.9923,-122.0602,H3-VR,,,,,132,200,
234,2020/1/17,1:04 PM,Brock Stuessi,In front of the unoccupied university house. ,36.9919,-122.0616,H3-VR,,,,,304,200,
235,2020/1/17,1:14 PM,Brock Stuessi,In the trees in front of Fort Kush. ,36.9909,-122.0618,H3-VR,,,,,171,187,
236,2020/1/17,1:28 PM,Brock Stuessi,"At the top of the Arboretum, in the World Conifer section.",36.9895,-122.0614,H3-VR,,,,,105,179,
237,2020/1/17,1:43 PM,Brock Stuessi,"On a hill below the music building, west of the downhill bike path. ",36.9915,-122.0598,H3-VR,,,,,88,199,
238,2020/1/15,5:24 PM,Skylar Liu,"Next to the big tree near the arts center, near some Turkeys. ",36.99414,-122.05964,H3-VR,,,,,26,206,
239,2020/1/15,5:31 PM,Skylar Liu,On the bridge to the third floor of the DARC building.,36.99407,-122.06083,H3-VR,,,,,183,212,
240,2020/1/15,5:40 PM,Skylar Liu,Inside DARC 308.,36.99395,-122.06071,H3-VR,,,,,280,212,
